car_ID,price,fueltype,aspiration,doornumber,enginelocation,drivewheel,cylindernumber,enginetype,fuelsystem,carbody,CarName,symboling,carwidth,carheight,wheelbase,carlength,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg
163,9258,gas,std,four,front,fwd,four,ohc,2bbl,sedan,toyota mark ii,0,64.4,52.8,95.7,166.3,2140,98,3.19,3.03,9,70,4800,28,34
164,8058,gas,std,two,front,rwd,four,ohc,2bbl,sedan,toyota corolla liftback,1,64,52.6,94.5,168.7,2169,98,3.19,3.03,9,70,4800,29,34
165,8238,gas,std,two,front,rwd,four,ohc,2bbl,hatchback,toyota corona,1,64,52.6,94.5,168.7,2204,98,3.19,3.03,9,70,4800,29,34
166,9298,gas,std,two,front,rwd,four,dohc,mpfi,sedan,toyota celica gt liftback,1,64,52.6,94.5,168.7,2265,98,3.24,3.08,9.4,112,6600,26,29
167,9538,gas,std,two,front,rwd,four,dohc,mpfi,hatchback,toyota corolla tercel,1,64,52.6,94.5,168.7,2300,98,3.24,3.08,9.4,112,6600,26,29
168,8449,gas,std,two,front,rwd,four,ohc,mpfi,hardtop,toyota corona liftback,2,65.6,52,98.4,176.2,2540,146,3.62,3.5,9.3,116,4800,24,30
169,9639,gas,std,two,front,rwd,four,ohc,mpfi,hardtop,toyota corolla,2,65.6,52,98.4,176.2,2536,146,3.62,3.5,9.3,116,4800,24,30
170,9989,gas,std,two,front,rwd,four,ohc,mpfi,hatchback,toyota starlet,2,65.6,52,98.4,176.2,2551,146,3.62,3.5,9.3,116,4800,24,30
171,11199,gas,std,two,front,rwd,four,ohc,mpfi,hardtop,toyota tercel,2,65.6,52,98.4,176.2,2679,146,3.62,3.5,9.3,116,4800,24,30
172,11549,gas,std,two,front,rwd,four,ohc,mpfi,hatchback,toyota corolla,2,65.6,52,98.4,176.2,2714,146,3.62,3.5,9.3,116,4800,24,30
173,17669,gas,std,two,front,rwd,four,ohc,mpfi,convertible,toyota cressida,2,65.6,53,98.4,176.2,2975,146,3.62,3.5,9.3,116,4800,24,30
174,8948,gas,std,four,front,fwd,four,ohc,mpfi,sedan,toyota corolla,-1,66.5,54.9,102.4,175.6,2326,122,3.31,3.54,8.7,92,4200,29,34
175,10698,diesel,turbo,four,front,fwd,four,ohc,idi,sedan,toyota celica gt,-1,66.5,54.9,102.4,175.6,2480,110,3.27,3.35,22.5,73,4500,30,33
176,9988,gas,std,four,front,fwd,four,ohc,mpfi,hatchback,toyota corona,-1,66.5,53.9,102.4,175.6,2414,122,3.31,3.54,8.7,92,4200,27,32
177,10898,gas,std,four,front,fwd,four,ohc,mpfi,sedan,toyota corolla,-1,66.5,54.9,102.4,175.6,2414,122,3.31,3.54,8.7,92,4200,27,32
178,11248,gas,std,four,front,fwd,four,ohc,mpfi,hatchback,toyota mark ii,-1,66.5,53.9,102.4,175.6,2458,122,3.31,3.54,8.7,92,4200,27,32
179,16558,gas,std,two,front,rwd,six,dohc,mpfi,hatchback,toyota corolla liftback,3,67.7,52,102.9,183.5,2976,171,3.27,3.35,9.3,161,5200,20,24
180,15998,gas,std,two,front,rwd,six,dohc,mpfi,hatchback,toyota corona,3,67.7,52,102.9,183.5,3016,171,3.27,3.35,9.3,161,5200,19,24
181,15690,gas,std,four,front,rwd,six,dohc,mpfi,sedan,toyota starlet,-1,66.5,54.1,104.5,187.8,3131,171,3.27,3.35,9.2,156,5200,20,24
182,15750,gas,std,four,front,rwd,six,dohc,mpfi,wagon,toyouta tercel,-1,66.5,54.1,104.5,187.8,3151,161,3.27,3.35,9.2,156,5200,19,24
183,7775,diesel,std,two,front,fwd,four,ohc,idi,sedan,vokswagen rabbit,2,65.5,55.7,97.3,171.7,2261,97,3.01,3.4,23,52,4800,37,46
184,7975,gas,std,two,front,fwd,four,ohc,mpfi,sedan,volkswagen 1131 deluxe sedan,2,65.5,55.7,97.3,171.7,2209,109,3.19,3.4,9,85,5250,27,34
185,7995,diesel,std,four,front,fwd,four,ohc,idi,sedan,volkswagen model 111,2,65.5,55.7,97.3,171.7,2264,97,3.01,3.4,23,52,4800,37,46
186,8195,gas,std,four,front,fwd,four,ohc,mpfi,sedan,volkswagen type 3,2,65.5,55.7,97.3,171.7,2212,109,3.19,3.4,9,85,5250,27,34
187,8495,gas,std,four,front,fwd,four,ohc,mpfi,sedan,volkswagen 411 (sw),2,65.5,55.7,97.3,171.7,2275,109,3.19,3.4,9,85,5250,27,34
188,9495,diesel,turbo,four,front,fwd,four,ohc,idi,sedan,volkswagen super beetle,2,65.5,55.7,97.3,171.7,2319,97,3.01,3.4,23,68,4500,37,42
189,9995,gas,std,four,front,fwd,four,ohc,mpfi,sedan,volkswagen dasher,2,65.5,55.7,97.3,171.7,2300,109,3.19,3.4,10,100,5500,26,32
190,11595,gas,std,two,front,fwd,four,ohc,mpfi,convertible,vw dasher,3,64.2,55.6,94.5,159.3,2254,109,3.19,3.4,8.5,90,5500,24,29
191,9980,gas,std,two,front,fwd,four,ohc,mpfi,hatchback,vw rabbit,3,64,51.4,94.5,165.7,2221,109,3.19,3.4,8.5,90,5500,24,29
192,13295,gas,std,four,front,fwd,five,ohc,mpfi,sedan,volkswagen rabbit,0,66.9,55.1,100.4,180.2,2661,136,3.19,3.4,8.5,110,5500,19,24
193,13845,diesel,turbo,four,front,fwd,four,ohc,idi,sedan,volkswagen rabbit custom,0,66.9,55.1,100.4,180.2,2579,97,3.01,3.4,23,68,4500,33,38
194,12290,gas,std,four,front,fwd,four,ohc,mpfi,wagon,volkswagen dasher,0,66.9,55.1,100.4,183.1,2563,109,3.19,3.4,9,88,5500,25,31
195,12940,gas,std,four,front,rwd,four,ohc,mpfi,sedan,volvo 145e (sw),-2,67.2,56.2,104.3,188.8,2912,141,3.78,3.15,9.5,114,5400,23,28
196,13415,gas,std,four,front,rwd,four,ohc,mpfi,wagon,volvo 144ea,-1,67.2,57.5,104.3,188.8,3034,141,3.78,3.15,9.5,114,5400,23,28
197,15985,gas,std,four,front,rwd,four,ohc,mpfi,sedan,volvo 244dl,-2,67.2,56.2,104.3,188.8,2935,141,3.78,3.15,9.5,114,5400,24,28
198,16515,gas,std,four,front,rwd,four,ohc,mpfi,wagon,volvo 245,-1,67.2,57.5,104.3,188.8,3042,141,3.78,3.15,9.5,114,5400,24,28
199,18420,gas,turbo,four,front,rwd,four,ohc,mpfi,sedan,volvo 264gl,-2,67.2,56.2,104.3,188.8,3045,130,3.62,3.15,7.5,162,5100,17,22
200,18950,gas,turbo,four,front,rwd,four,ohc,mpfi,wagon,volvo diesel,-1,67.2,57.5,104.3,188.8,3157,130,3.62,3.15,7.5,162,5100,17,22
201,16845,gas,std,four,front,rwd,four,ohc,mpfi,sedan,volvo 145e (sw),-1,68.9,55.5,109.1,188.8,2952,141,3.78,3.15,9.5,114,5400,23,28
202,19045,gas,turbo,four,front,rwd,four,ohc,mpfi,sedan,volvo 144ea,-1,68.8,55.5,109.1,188.8,3049,141,3.78,3.15,8.7,160,5300,19,25
203,21485,gas,std,four,front,rwd,six,ohcv,mpfi,sedan,volvo 244dl,-1,68.9,55.5,109.1,188.8,3012,173,3.58,2.87,8.8,134,5500,18,23
204,22470,diesel,turbo,four,front,rwd,six,ohc,idi,sedan,volvo 246,-1,68.9,55.5,109.1,188.8,3217,145,3.01,3.4,23,106,4800,26,27
205,22625,gas,turbo,four,front,rwd,four,ohc,mpfi,sedan,volvo 264gl,-1,68.9,55.5,109.1,188.8,3062,141,3.78,3.15,9.5,114,5400,19,25
